atom,level,E,H,G
h,xtb2,-0.393482763936,-0.391122235556,-0.403476982651
h,r2scan,-0.497271685685,-0.4949112052,-0.5079260179
h,d4tzvp,-0.505029527340,-0.5026690469,-0.5156838595
c,xtb2,-1.793296371365,-1.790935842985,-1.806798355685
c,r2scan,-37.832216087268,-37.8298556068,-37.8467625667
c,d4tzvp,-37.872810957783,-37.8704504773,-37.8873574372
cl,xtb2,-4.482525134961,-4.480164606581,-4.497559399337
cl,r2scan,-460.113993288453,-460.1116328080,-460.1296898864
cl,d4tzvp,-460.152305489580,-460.1499450091,-460.1680020875
